"id","language","text"
1,"es","?RT @SEPCValls: .@CivitiMarti Potser estaria bé utilitzar-les per precintar l'estand de l'exèrcit espanyol a l'Espai de l'Estudiant… "
2,"es","?RT @mconesapages: S'aprova manifest per Referèndum. Demòcràcia i futur! #pactenacionalreferèndum https://t.co/npZbv68oZy"
3,"es","?RT @rcastellano_: Treballant pel #ComerçdeGavà amb nous projectes i accions per aquest 2017 i endavant a #Gavà avui a la @diba amb @isaacal…"
4,"es","?RT @rcastellano_: Treballant pel #ComerçdeGavà amb nous projectes i accions per aquest 2017 i endavant a #Gavà avui a la @diba amb @isaacal…"
5,"es","?RT @Dionis7vetes: Boníssim anàlissi del mestre Joan Puigcercós! “Els tancs ja han arribat, són Hisenda i els jutjats” https://t.co/JJSOKQEe…"
6,"es","?RT @Chicago_Boys: @Arran_jovent @toni_comin us cambiaran la clau del wifi i a recollir les joguines de la habitació"
7,"es","?.@marta_minguella @CGTDiba és empleat d'UGT. 
Porta les xarxes.
ExPSC, equip de Collboni.
Ara dóna lliçons d'independentisme."
8,"es","?RT @LaHaineInfo: Badatoz #bridagak2017, Borrokak uztartzen! :: https://t.co/wODP2ufZCV"
9,"es","?RT @LaHaineInfo: El rol de Israel en la sombra en la guerra sucia en Guatemala :: https://t.co/FgLMfokjmW"
10,"es","?RT @LaHaineInfo: ¿Por qué los intelectuales y políticos pertenecientes al 1% son hostiles hacia Cuba? :: https://t.co/yWHryvNjI5"
11,"es","?RT @LaHaineInfo: La clase dominante en guerra sin cuartel contra Trump :: https://t.co/GgvlbjHwrD"
12,"es","?RT @LaHaineInfo: Atrapados y sin salida :: https://t.co/UgHhQOtNcz"
13,"es","?RT @LaHaineInfo: Trump, Slim y los negocios :: https://t.co/fHroWi32pn"
14,"es","?RT @LaHaineInfo: [audio] Los CIE desde dentro :: https://t.co/JkRUlRaAaz"
15,"es","?RT @LaHaineInfo: Manu Azkarate, escapando del miedo :: https://t.co/HvzZYfFIxV"
16,"es","?RT @LaHaineInfo: ¿Quiénes son los responsables de que arda Chile y sufra su pueblo? :: https://t.co/KH7rQZE5j9"
17,"es","?RT @LaHaineInfo: No ens alimenten molles / No nos alimentan muelles :: https://t.co/oKyn4ZnQsR"
18,"es","?RT @mconesapages: S'aprova manifest per Referèndum. Demòcràcia i futur! #pactenacionalreferèndum https://t.co/npZbv68oZy"
19,"es","?RT @LaHaineInfo: ARRAN ocupa la pasarela 080 contra la cosificación de la mujeer :: https://t.co/JeVd5Siy9P"
20,"es","?RT @Chicago_Boys: @Arran_jovent @toni_comin us cambiaran la clau del wifi i a recollir les joguines de la habitació"
21,"es","?RT @LaHaineInfo: El día en que la prensa canalla señaló como “mosso” espía al compañero fotoperiodista @JuanCarlosMohr… "
22,"es","?Voleu dir @Arran_jovent q en @toni_comin és el culpable? Busqueu gacetilleros i coses així, per cert sabeu d'on surten els calés?"
23,"es","?RT @sebasnogueres: Voleu dir @Arran_jovent q en @toni_comin és el culpable? Busqueu gacetilleros i coses així, per cert sabeu d'on surten e…"
24,"es","?RT @LaHaineInfo: ARRAN ocupa la pasarela 080 contra la cosificación de la mujeer :: https://t.co/JeVd5Siy9P"
25,"es","?RT @SerradoraBoix: La @diba ofereix ordenances a #ajuntaments x costos de manteniment de franges seguretat urbanitzacions x #incendis 
http…"
26,"es","?RT @SerradoraBoix: La @diba ofereix ordenances a #ajuntaments x costos de manteniment de franges seguretat urbanitzacions x #incendis 
http…"
27,"es","?@sebasnogueres @Wittgenstein_jm @Arran_jovent @toni_comin no està fent bona gestió, a més falla en els protocols.tot i això sobra el cartell"
28,"es","?Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum… https://t.co/J5VCA4xx5l"
29,"es","?RT @RadioZapote: @ManceraMiguelMX @RicardoMonrealA y sus socios las inmobiliarias ahora desalojan a los compas de la karakola en… "
30,"es","?RT @AlcaudonReal1: Si los americanos son gilipollas por votar al trasplantado,, que son los que han votado a esto? https://t.co/tAsWCDG93I"
31,"es","?@eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Per què a les dues respostes tevs? El cartell és cosa d'hiperventilats."
32,"es","?RT @TrasLaManta: #5F?@DocTarajal en las calles con #VermutRebel
#6F?Proyección en cines y en el #Congreso
#8F?Presentación y proyecc… "
33,"es","?RT @xapo_: El 5F #VermutRebel y el 6 Tarajal en cines. Y además presentamos Tarajal en el Congreso de los Diputados y en el Pa… "
34,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
35,"es","?RT @Jordivll: #DefineADonaldTrump Con todos mis respetos al animal, claro está. https://t.co/yNAEIPZk0s"
36,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Jo vaig agafar febre, cap a 40, vaig anar al CAP, saps quants érem? 3"
37,"es","?Acabem amb la privada a la sanitat pública!
Demà, xerrada amb Custodia Moreno, Ernest Jiminez i @IsaGarnika 19h bib… https://t.co/Dc9xrYREe8"
38,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin la doctora em va dir q no entenia pq la gent no anava al CAP"
39,"es","?RT @LaHaineInfo: ¿Por qué los intelectuales y políticos pertenecientes al 1% son hostiles hacia Cuba? :: https://t.co/yWHryvNjI5"
40,"es","?RT @nuriaparlon: En marxa els ateneus cooperatius #santacoloma https://t.co/zQ3IM3HI1S @esteveserrano @grameimpuls"
41,"es","?@InesArrimadas sinó"
42,"es","?RT @nuriaparlon: Més de 300 persones en beneficiaran de la formació 2017 @grameimpuls https://t.co/t85pb8Dkth #santacoloma @esteveserrano"
43,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent  al meu hospital de referència hi havia cua de 8/10 hores. Culpa d'en @toni_comin"
44,"es","?RT @roigpi: ""Taller comunicació 2.0 i xarxes socials"" #participaciociutadana @diba col.labora amb @ajmontornes enfortint el teixit associat…"
45,"es","?RT @roigpi: ""Taller comunicació 2.0 i xarxes socials"" #participaciociutadana @diba col.labora amb @ajmontornes enfortint el teixit associat…"
46,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin a hospital referència hi havia cua de 8/10 hores amb perill de contagis"
47,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Aquest SI és el puto vell problema de la Sanitat!!"
48,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent  i em van fer el mateix. Culpa d'en @toni_comin ?"
49,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin no entenc q no diguin ni piu q calés venen de Madrid i són nostres"
50,"es","?@sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin no diuen mai res contra espoli continuat?"
51,"es","?RT @vulpivs: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Aquest SI és el puto vell problema de la Sanitat!!"
52,"es","?Denuncien l’acomiadament d’un guarda forestal de la Diputació per ser reivindicatiu @CCOODiba #MarcReadmissió  https://t.co/daN2TbB3ob"
53,"es","?RT @Joan_Mercader: Gràcies x acompanyar-nos avui!? @salvadorilla @nuriaparlon @XescoG @mgmonforte @xavieramor @AliRodLuna @VanesaVmunoz @PS…"
54,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
55,"es","?RT @Joan_Mercader: Gràcies x acompanyar-nos avui!? @salvadorilla @nuriaparlon @XescoG @mgmonforte @xavieramor @AliRodLuna @VanesaVmunoz @PS…"
56,"es","?RT @DiariTreball: Denuncien l’acomiadament d’un guarda forestal de la Diputació per ser reivindicatiu @CCOODiba #MarcReadmissió  https://t.…"
57,"es","?RT @Joan_Mercader: Gràcies x acompanyar-nos avui!? @salvadorilla @nuriaparlon @XescoG @mgmonforte @xavieramor @AliRodLuna @VanesaVmunoz @PS…"
